City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
536,Mangaluru,IN,74.26,light intensity drizzle,12.8667,74.8833,Goldfinch Hotel Mangaluru
537,Margate,GB,66.69,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
541,Padang,ID,71.65,moderate rain,-0.9492,100.3543,Mercure Padang
542,Hockenheim,DE,72.59,few clouds,49.3228,8.5458,ACHAT Hotel Hockenheim
543,Honiara,SB,75.11,clear sky,-9.4333,159.95,Heritage Park Hotel
544,Sola,VU,80.64,broken clouds,-13.8833,167.55,Leumerus Bungalows
547,Sena Madureira,BR,75.47,overcast clouds,-9.0656,-68.6569,Hotel Central
548,Miles City,US,74.37,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
550,Acajutla,SV,83.88,overcast clouds,13.5928,-89.8275,Laureles
551,Axim,GH,78.39,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
554,Cuza Voda,RO,69.01,overcast clouds,44.2667,27.2667,La conu' Leo
556,Sudak,UA,70.74,overcast clouds,44.85,34.9667,Solari Beach
557,Sorong,ID,81.01,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
561,Surab,PK,77.56,overcast clouds,28.4914,66.2585,Bismillah Hotel
562,Marienburg,PL,67.57,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
567,Kuryk,KZ,73.47,broken clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
569,Paragominas,BR,79.79,overcast clouds,-2.9667,-47.4833,INOVA
574,Cobija,BO,77.18,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
575,Paraopeba,BR,80.17,overcast clouds,-19.2757,-44.4033,HC Hotel Paraopeba
576,Bay Roberts,CA,73.15,overcast clouds,47.5999,-53.2648,Stonewall Inn
578,Ambilobe,MG,69.6,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
579,Semey,KZ,72.1,broken clouds,50.4111,80.2275,Grand Hotel Semey
587,Kathu,TH,83.75,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
588,San Juan,AR,66.43,clear sky,-31.5375,-68.5364,Hotel Provincial
590,Namatanai,PG,78.31,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
591,San Quintin,MX,73.78,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
594,Loreto,MX,82.26,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
596,Carutapera,BR,81.16,overcast clouds,-1.195,-46.02,Lidera
599,Hirara,JP,79.02,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
600,Bacolod,PH,78.66,overcast clouds,10.6667,122.95,Planta Hotel & Residences
601,Santa Fe,AR,65.95,clear sky,-31.6333,-60.7,Conquistador Hotel
602,Porto Santo,PT,68.38,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
603,Gilgit,PK,71.53,overcast clouds,35.9221,74.3087,Tourist Hamlet Gilgit
606,Ushtobe,KZ,68.59,scattered clouds,45.2514,77.9838,Filipin Squad
608,Itarema,BR,81.57,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
609,Terre Haute,US,79.97,overcast clouds,39.4667,-87.4139,Drury Inn & Suites Terre Haute
611,Awjilah,LY,80.33,clear sky,29.1081,21.2869,المنزل
612,Los Llanos De Aridane,ES,69.55,few clouds,28.6585,-17.9182,Valle Aridane
613,Changji,CN,83.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
614,Clinton,US,79.41,broken clouds,42.587,-82.9199,River's Edge
616,Vallenar,CL,73.98,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
617,Athabasca,CA,72.01,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
619,Santa Cruz,BO,71.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
620,Brainerd,US,74.98,scattered clouds,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
623,Bukoba,TZ,68.05,scattered clouds,-1.3317,31.8122,Elct Bukoba Hotel and Tours
624,Kudahuvadhoo,MV,82.94,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
626,Jeremoabo,BR,78.12,light rain,-10.075,-38.4808,
631,Eravur,LK,81.34,overcast clouds,7.7733,81.6095,Farhan KING House
632,Frontera Comalapa,MX,84.67,few clouds,15.65,-92.1333,Hotel del Angel
635,Coxim,BR,75.97,overcast clouds,-18.5067,-54.76,Hotel Avenida
636,Ovalle,CL,71.56,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
637,Sainte-Suzanne,RE,69.98,broken clouds,-20.9061,55.6089,Gites Ango
638,Shaunavon,CA,69.58,overcast clouds,49.6501,-108.4181,Bear's Den Lodge
640,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
644,San Juan Bautista,PE,81.16,clear sky,-14.0108,-75.7358,Hotel Las Dunas
645,Ponta Delgada,PT,68.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
646,Centralia,US,65.34,haze,46.7162,-122.9543,Peppermill Inn
650,Tezu,IN,74.39,overcast clouds,27.9167,96.1667,Circuit House
654,Bumbuna,SL,76.17,scattered clouds,9.05,-11.7333,
656,Eyl,SO,79.2,overcast clouds,7.9803,49.8164,Amiin Hotel
660,Port Hawkesbury,CA,77.88,few clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
663,Puerto Gaitan,CO,73.94,light rain,4.3133,-72.0816,Brisas del Yucao
664,Vila Franca Do Campo,PT,68.2,moderate rain,37.7167,-25.4333,Pestana Bahia Praia
665,Agen,FR,82.49,overcast clouds,44.2,0.6333,Appart'City Agen Centre - Appart Hôtel
667,Goderich,CA,70.12,scattered clouds,43.7501,-81.7165,Harmony Inn
669,Amahai,ID,77.76,broken clouds,-3.3333,128.9167,HOTEL ISABELA
670,Sambava,MG,71.33,overcast clouds,-14.2667,50.1667,Melrose
674,Sao Jose Da Coroa Grande,BR,79.41,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
676,Kupang,ID,76.19,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
677,Rujewa,TZ,66.06,broken clouds,-8.7,34.3833,Mafanikio Inn Lodge
